OID_,type,subtype,curb_id,dist_s_m,dist_e_m
882,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjA0,98.7300034,101.4000015
883,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjEz,6.0799999,72.7399979
884,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjE0,3.1300001,23.2999992
885,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjE0,23.2999992,34.2000008
886,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjE0,34.2000008,63.3699989
887,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjE1,2.4500000,30.6800003
888,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjE2,1.7600000,66.4199982
889,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjE3,5.3499999,25.2999992
890,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjE3,25.2999992,30.8899994
891,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjE3,30.8899994,129.2299957
892,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjIw,5.1999998,37.8499985
893,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjIw,37.8499985,42.3199997
894,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjIw,42.3199997,111.4199982
895,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjIx,3.4600000,127.5400009
896,No-Parking Curb, ,cGhpbGFkZWxwaGlhOjMwNjIy,0.0000000,62.7382011
897,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjIz,20.9300003,26.3500004
898,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjI1,1.8500000,59.2200012
899,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjI3,1.2100000,61.9399986
900,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjI4,4.4699998,58.8400002
901,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjI5,0.3600000,63.2599983
902,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjMw,1.5800000,57.6899986
903,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjMx,0.7500000,60.3400002
904,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjMy,1.4800000,80.6999969
905,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjMz,3.7000000,31.8799992
906,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjM0,0.9800000,43.9099998
907,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjM2,4.8200002,27.8400002
908,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjM2,27.8400002,37.4399986
909,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjM2,37.4399986,129.8899994
910,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjM3,4.8400002,25.5300007
911,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjM3,25.5300007,33.7000008
912,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjM3,33.7000008,42.3400002
913,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjQx,3.1300001,129.2899933
914,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjQ1,65.1600037,71.9000015
915,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjQ3,28.0400009,35.4700012
916,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjQ4,68.2200012,72.6399994
917,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjUz,2.3399999,66.1200027
918,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjMwNjU0,11.6199999,71.9300003
919,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjEx,23.1900005,28.3799992
920,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjEx,60.0999985,65.4100037
921,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjEy,39.9300003,51.9399986
922,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjEy,62.8499985,66.7300034
923,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjEz,59.6100006,69.9599991
924,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjEz,75.7600021,83.7900009
925,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjEz,99.5100021,102.0800018
926,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjE0,5.4600000,12.2900000
927,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjE0,72.4100037,79.7399979
928,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjMxMjE0,79.7399979,83.5699997
929,No-Parking Curb, ,cGhpbGFkZWxwaGlhOjMxMjE1,0.0000000,64.9389038
930,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjE3,0.0000000,2.9300001
931,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjE3,7.0999999,12.6800003
932,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjE3,29.3500004,33.5800018
933,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMjE4,30.0000000,35.7900009
934,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMzg1,5.6900001,12.8900003
935,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMzg1,24.0100002,36.0699997
936,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMzg1,47.1899986,53.7000008
937,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMzg2,5.7800002,16.2099991
938,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMzg2,38.2700005,45.2500000
939,Curb Cut, ,cGhpbGFkZWxwaGlhOjMxMzg3,39.4099998,63.7400017
940,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODE3,0.0000000,5.4299998
941,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODE3,15.9300003,18.4699993
942,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODE3,23.1800003,27.9400005
943,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODI1,21.5000000,24.7700005
944,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODI1,26.5900002,29.6599998
945,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODI1,31.7199993,35.0499992
946,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODI3,38.2400017,51.6599998
947,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODI3,68.8000031,73.3499985
948,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODMw,37.5299988,47.3400002
949,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjMzODMw,61.2400017,86.8600006
950,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODMx,22.0499992,27.7099991
951,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODQ4,26.0599995,29.4300003
952,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODQ4,31.8899994,34.5699997
953,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODQ4,36.7999992,40.3199997
954,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODUw,23.8700008,37.7200012
955,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODU5,0.7200000,4.4499998
956,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODYw,36.6800003,42.2400017
957,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODYw,42.9599991,51.4700012
958,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODYw,54.7500000,59.7799988
959,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODYy,11.9099998,18.5200005
960,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzODYy,41.7700005,47.9900017
961,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjMzODY0,5.2100000,69.3000031
962,Bulbout, ,cGhpbGFkZWxwaGlhOjM3MTY3,31.6200008,46.4700012
963,Bulbout, ,cGhpbGFkZWxwaGlhOjM3MTcw,0.5500000,12.0799999
964,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjM4NzM1,6.9499998,33.0699997
965,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4NzM2,39.0200005,51.8499985
966,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4NzM2,55.6800003,66.1500015
967,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjM4NzM3,75.6699982,80.3899994
968,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjM4NzM4,1.7700000,29.9799995
969,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4NzQw,114.7099991,126.3799973
