OID_,subtype,curb_id,txt_failed,txt,img_urls,arrows,type,symbols,dist_m,facing,
8063, ,cGhpbGFkZWxwaGlhOjMwNjM2,F, ,https://api.coord.com/surveyor/photo/351065, ,ADA Curb Ramp, ,124.7900009, ,
8064, ,cGhpbGFkZWxwaGlhOjMwNjM3,F, ,"https://api.coord.com/surveyor/photo/346860, https://api.coord.com/surveyor/photo/351066", ,ADA Curb Ramp, ,0, ,
8068, ,cGhpbGFkZWxwaGlhOjMwNjM4,F, ,"https://api.coord.com/surveyor/photo/346869, https://api.coord.com/surveyor/photo/351069", ,Hydrant, ,80.3300018, ,
8069, ,cGhpbGFkZWxwaGlhOjMwNjM4,F, ,"https://api.coord.com/surveyor/photo/346872, https://api.coord.com/surveyor/photo/351070", ,ADA Curb Ramp, ,83.6699982, ,
8070, ,cGhpbGFkZWxwaGlhOjMwNjM5,F, ,"https://api.coord.com/surveyor/photo/356954, https://api.coord.com/surveyor/photo/356163", ,ADA Curb Ramp, ,0, ,
8071, ,cGhpbGFkZWxwaGlhOjMwNjM5,F, ,"https://api.coord.com/surveyor/photo/356956, https://api.coord.com/surveyor/photo/356164", ,Hydrant, ,0.81, ,
8086, ,cGhpbGFkZWxwaGlhOjMwNjQx,F, ,"https://api.coord.com/surveyor/photo/356966, https://api.coord.com/surveyor/photo/356171", ,Hydrant, ,1.54, ,
8091, ,cGhpbGFkZWxwaGlhOjMwNjQx,F, ,"https://api.coord.com/surveyor/photo/356972, https://api.coord.com/surveyor/photo/356175", ,ADA Curb Ramp, ,127.8899994, ,
8092, ,cGhpbGFkZWxwaGlhOjMwNjQy,F, ,https://api.coord.com/surveyor/photo/356176, ,ADA Curb Ramp, ,0, ,
8093, ,cGhpbGFkZWxwaGlhOjMwNjQy,F, ,https://api.coord.com/surveyor/photo/356177, ,Hydrant, ,1.89, ,
8099, ,cGhpbGFkZWxwaGlhOjMwNjQ0,F, ,"https://api.coord.com/surveyor/photo/371068, https://api.coord.com/surveyor/photo/362106", ,Hydrant, ,2.1500001, ,
8106, ,cGhpbGFkZWxwaGlhOjMwNjQ0,F, ,"https://api.coord.com/surveyor/photo/371073, https://api.coord.com/surveyor/photo/362119", ,Hydrant, ,158.7400055, ,
8107, ,cGhpbGFkZWxwaGlhOjMwNjQ0,F, ,"https://api.coord.com/surveyor/photo/371074, https://api.coord.com/surveyor/photo/362123", ,ADA Curb Ramp, ,159.1999969, ,
8108, ,cGhpbGFkZWxwaGlhOjMwNjQ1,F, ,"https://api.coord.com/surveyor/photo/371075, https://api.coord.com/surveyor/photo/362126", ,Hydrant, ,1.35, ,
8109, ,cGhpbGFkZWxwaGlhOjMwNjQ1,F, ,"https://api.coord.com/surveyor/photo/371077, https://api.coord.com/surveyor/photo/362128", ,ADA Curb Ramp, ,2.73, ,
8111, ,cGhpbGFkZWxwaGlhOjMwNjQ1,F, ,https://api.coord.com/surveyor/photo/371079, ,Hydrant, ,60.7700005, ,
8113, ,cGhpbGFkZWxwaGlhOjMwNjQ1,F, ,"https://api.coord.com/surveyor/photo/371081, https://api.coord.com/surveyor/photo/362137", ,Hydrant, ,126.3399963, ,
8122, ,cGhpbGFkZWxwaGlhOjMwNjQ3,F, ,"https://api.coord.com/surveyor/photo/371086, https://api.coord.com/surveyor/photo/368958", ,Hydrant, ,1.21, ,
8133, ,cGhpbGFkZWxwaGlhOjMwNjQ4,F, ,"https://api.coord.com/surveyor/photo/371094, https://api.coord.com/surveyor/photo/368964", ,Hydrant, ,4.5500002, ,
8149, ,cGhpbGFkZWxwaGlhOjMwNjQ4,F, ,"https://api.coord.com/surveyor/photo/371101, https://api.coord.com/surveyor/photo/368970", ,Hydrant, ,87.0800018, ,
8150, ,cGhpbGFkZWxwaGlhOjMwNjUz,F, ,"https://api.coord.com/surveyor/photo/368298, https://api.coord.com/surveyor/photo/368972", ,ADA Curb Ramp, ,0, ,
8153, ,cGhpbGFkZWxwaGlhOjMwNjUz,F, ,"https://api.coord.com/surveyor/photo/368302, https://api.coord.com/surveyor/photo/368975", ,ADA Curb Ramp, ,66.1100006, ,
8154, ,cGhpbGFkZWxwaGlhOjMwNjU0,F, ,"https://api.coord.com/surveyor/photo/368303, https://api.coord.com/surveyor/photo/368976", ,ADA Curb Ramp, ,0, ,
8163, ,cGhpbGFkZWxwaGlhOjMwNjYw,F, ,https://api.coord.com/surveyor/photo/375437, ,ADA Curb Ramp, ,119.9599991, ,
8171, ,cGhpbGFkZWxwaGlhOjMwNjYz,F, ,https://api.coord.com/surveyor/photo/375439, ,Hydrant, ,206.5099945, ,
8172, ,cGhpbGFkZWxwaGlhOjMwNjYz,F, ,https://api.coord.com/surveyor/photo/375440, ,ADA Curb Ramp, ,208.7599945, ,
8174, ,cGhpbGFkZWxwaGlhOjMwNjk5,F, ,https://api.coord.com/surveyor/photo/378285, ,Hydrant, ,0.08, ,
8177, ,cGhpbGFkZWxwaGlhOjMxMjEx,F, ,"https://api.coord.com/surveyor/photo/365823, https://api.coord.com/surveyor/photo/376934", ,Hydrant, ,3.28, ,
